LOCATION,"INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
AUS,"EDUADULT","TRY","PC_25_64","A","2015",42.888756,
AUT,"EDUADULT","TRY","PC_25_64","A","2015",30.550726,
BEL,"EDUADULT","TRY","PC_25_64","A","2015",36.857422,
CAN,"EDUADULT","TRY","PC_25_64","A","2015",55.17366,
CZE,"EDUADULT","TRY","PC_25_64","A","2015",22.186741,
DNK,"EDUADULT","TRY","PC_25_64","A","2015",37.095581,
FIN,"EDUADULT","TRY","PC_25_64","A","2015",42.742619,
FRA,"EDUADULT","TRY","PC_25_64","A","2015",34.085361,
DEU,"EDUADULT","TRY","PC_25_64","A","2015",27.638235,
GRC,"EDUADULT","TRY","PC_25_64","A","2015",29.057495,
HUN,"EDUADULT","TRY","PC_25_64","A","2015",24.242552,
ISL,"EDUADULT","TRY","PC_25_64","A","2015",38.841152,
IRL,"EDUADULT","TRY","PC_25_64","A","2015",42.806118,
ITA,"EDUADULT","TRY","PC_25_64","A","2015",17.546457,
JPN,"EDUADULT","TRY","PC_25_64","A","2015",49.541573,
KOR,"EDUADULT","TRY","PC_25_64","A","2015",45.356678,
LUX,"EDUADULT","TRY","PC_25_64","A","2015",39.794865,
MEX,"EDUADULT","TRY","PC_25_64","A","2015",16.278801,
NLD,"EDUADULT","TRY","PC_25_64","A","2015",35.330765,
NZL,"EDUADULT","TRY","PC_25_64","A","2015",34.040531,
NOR,"EDUADULT","TRY","PC_25_64","A","2015",42.706734,
POL,"EDUADULT","TRY","PC_25_64","A","2015",27.747267,
PRT,"EDUADULT","TRY","PC_25_64","A","2015",22.857506,
SVK,"EDUADULT","TRY","PC_25_64","A","2015",21.149881,
ESP,"EDUADULT","TRY","PC_25_64","A","2015",35.081161,
SWE,"EDUADULT","TRY","PC_25_64","A","2015",39.786552,
CHE,"EDUADULT","TRY","PC_25_64","A","2015",39.782719,
TUR,"EDUADULT","TRY","PC_25_64","A","2015",18.020138,
GBR,"EDUADULT","TRY","PC_25_64","A","2015",44.197987,
USA,"EDUADULT","TRY","PC_25_64","A","2015",44.629398,
BRA,"EDUADULT","TRY","PC_25_64","A","2015",14.794608,
CHL,"EDUADULT","TRY","PC_25_64","A","2015",22.475199,
COL,"EDUADULT","TRY","PC_25_64","A","2015",21.562889,
EST,"EDUADULT","TRY","PC_25_64","A","2015",38.030697,
IDN,"EDUADULT","TRY","PC_25_64","A","2015",10.567527,
ISR,"EDUADULT","TRY","PC_25_64","A","2015",48.824478,
LVA,"EDUADULT","TRY","PC_25_64","A","2015",31.591949,
RUS,"EDUADULT","TRY","PC_25_64","A","2015",52.42807,
SVN,"EDUADULT","TRY","PC_25_64","A","2015",30.173296,
ZAF,"EDUADULT","TRY","PC_25_64","A","2015",6.9889388,
OAVG,"EDUADULT","TRY","PC_25_64","A","2015",34.662088,
AUS,"EDUADULT","TRY_MEN","PC_25_64","A","2015",38.441013,
AUS,"EDUADULT","TRY_WOMEN","PC_25_64","A","2015",47.239651,
AUT,"EDUADULT","TRY_MEN","PC_25_64","A","2015",31.968834,
AUT,"EDUADULT","TRY_WOMEN","PC_25_64","A","2015",29.142385,
BEL,"EDUADULT","TRY_MEN","PC_25_64","A","2015",33.639149,
BEL,"EDUADULT","TRY_WOMEN","PC_25_64","A","2015",40.091373,
CAN,"EDUADULT","TRY_MEN","PC_25_64","A","2015",49.226135,
CAN,"EDUADULT","TRY_WOMEN","PC_25_64","A","2015",61.063675,
CZE,"EDUADULT","TRY_MEN","PC_25_64","A","2015",20.964939,
CZE,"EDUADULT","TRY_WOMEN","PC_25_64","A","2015",23.440073,
DNK,"EDUADULT","TRY_MEN","PC_25_64","A","2015",31.716614,
DNK,"EDUADULT","TRY_WOMEN","PC_25_64","A","2015",42.565228,
FIN,"EDUADULT","TRY_MEN","PC_25_64","A","2015",36.266994,
FIN,"EDUADULT","TRY_WOMEN","PC_25_64","A","2015",49.341976,
FRA,"EDUADULT","TRY_MEN","PC_25_64","A","2015",31.506598,
FRA,"EDUADULT","TRY_WOMEN","PC_25_64","A","2015",36.540623,
DEU,"EDUADULT","TRY_MEN","PC_25_64","A","2015",30.822794,
DEU,"EDUADULT","TRY_WOMEN","PC_25_64","A","2015",24.437277,
GRC,"EDUADULT","TRY_MEN","PC_25_64","A","2015",28.011593,
GRC,"EDUADULT","TRY_WOMEN","PC_25_64","A","2015",30.0784,
HUN,"EDUADULT","TRY_MEN","PC_25_64","A","2015",21.039064,
HUN,"EDUADULT","TRY_WOMEN","PC_25_64","A","2015",27.318335,
ISL,"EDUADULT","TRY_MEN","PC_25_64","A","2015",31.442921,
ISL,"EDUADULT","TRY_WOMEN","PC_25_64","A","2015",46.322239,
IRL,"EDUADULT","TRY_MEN","PC_25_64","A","2015",38.907608,
IRL,"EDUADULT","TRY_WOMEN","PC_25_64","A","2015",46.547295,
ITA,"EDUADULT","TRY_MEN","PC_25_64","A","2015",15.262836,
ITA,"EDUADULT","TRY_WOMEN","PC_25_64","A","2015",19.778906,
JPN,"EDUADULT","TRY_MEN","PC_25_64","A","2015",49.558918,
JPN,"EDUADULT","TRY_WOMEN","PC_25_64","A","2015",49.524113,
KOR,"EDUADULT","TRY_MEN","PC_25_64","A","2015",49.042599,
KOR,"EDUADULT","TRY_WOMEN","PC_25_64","A","2015",41.568684,
LUX,"EDUADULT","TRY_MEN","PC_25_64","A","2015",39.599579,
LUX,"EDUADULT","TRY_WOMEN","PC_25_64","A","2015",39.998001,
MEX,"EDUADULT","TRY_MEN","PC_25_64","A","2015",17.442137,
MEX,"EDUADULT","TRY_WOMEN","PC_25_64","A","2015",15.255282,
NLD,"EDUADULT","TRY_MEN","PC_25_64","A","2015",35.696461,
NLD,"EDUADULT","TRY_WOMEN","PC_25_64","A","2015",34.965019,
NZL,"EDUADULT","TRY_MEN","PC_25_64","A","2015",30.899937,
NZL,"EDUADULT","TRY_WOMEN","PC_25_64","A","2015",36.946754,
NOR,"EDUADULT","TRY_MEN","PC_25_64","A","2015",38.427513,
NOR,"EDUADULT","TRY_WOMEN","PC_25_64","A","2015",47.20348,
POL,"EDUADULT","TRY_MEN","PC_25_64","A","2015",22.828283,
POL,"EDUADULT","TRY_WOMEN","PC_25_64","A","2015",32.596737,
PRT,"EDUADULT","TRY_MEN","PC_25_64","A","2015",18.444221,
PRT,"EDUADULT","TRY_WOMEN","PC_25_64","A","2015",26.917894,
SVK,"EDUADULT","TRY_MEN","PC_25_64","A","2015",18.404339,
SVK,"EDUADULT","TRY_WOMEN","PC_25_64","A","2015",23.898914,
ESP,"EDUADULT","TRY_MEN","PC_25_64","A","2015",32.657227,
ESP,"EDUADULT","TRY_WOMEN","PC_25_64","A","2015",37.504776,
SWE,"EDUADULT","TRY_MEN","PC_25_64","A","2015",33.02187,
SWE,"EDUADULT","TRY_WOMEN","PC_25_64","A","2015",46.754311,
CHE,"EDUADULT","TRY_MEN","PC_25_64","A","2015",44.213116,
CHE,"EDUADULT","TRY_WOMEN","PC_25_64","A","2015",35.279415,
TUR,"EDUADULT","TRY_MEN","PC_25_64","A","2015",19.456432,
TUR,"EDUADULT","TRY_WOMEN","PC_25_64","A","2015",16.383751,
GBR,"EDUADULT","TRY_MEN","PC_25_64","A","2015",43.469074,
GBR,"EDUADULT","TRY_WOMEN","PC_25_64","A","2015",44.909252,
USA,"EDUADULT","TRY_MEN","PC_25_64","A","2015",41.735706,
USA,"EDUADULT","TRY_WOMEN","PC_25_64","A","2015",47.412323,
BRA,"EDUADULT","TRY_MEN","PC_25_64","A","2015",12.590186,
BRA,"EDUADULT","TRY_WOMEN","PC_25_64","A","2015",16.803698,
CHL,"EDUADULT","TRY_MEN","PC_25_64","A","2015",22.454159,
CHL,"EDUADULT","TRY_WOMEN","PC_25_64","A","2015",22.493267,
COL,"EDUADULT","TRY_MEN","PC_25_64","A","2015",19.608345,
COL,"EDUADULT","TRY_WOMEN","PC_25_64","A","2015",23.391415,
EST,"EDUADULT","TRY_MEN","PC_25_64","A","2015",28.332598,
EST,"EDUADULT","TRY_WOMEN","PC_25_64","A","2015",47.362286,
IDN,"EDUADULT","TRY_MEN","PC_25_64","A","2015",10.668953,
IDN,"EDUADULT","TRY_WOMEN","PC_25_64","A","2015",10.465724,
ISR,"EDUADULT","TRY_MEN","PC_25_64","A","2015",44.526859,
ISR,"EDUADULT","TRY_WOMEN","PC_25_64","A","2015",52.97908,
LVA,"EDUADULT","TRY_MEN","PC_25_64","A","2015",22.299984,
LVA,"EDUADULT","TRY_WOMEN","PC_25_64","A","2015",40.124584,
RUS,"EDUADULT","TRY_MEN","PC_25_64","A","2015",44.051537,
RUS,"EDUADULT","TRY_WOMEN","PC_25_64","A","2015",59.72374,
SVN,"EDUADULT","TRY_MEN","PC_25_64","A","2015",24.047276,
SVN,"EDUADULT","TRY_WOMEN","PC_25_64","A","2015",36.687336,
ZAF,"EDUADULT","TRY_MEN","PC_25_64","A","2015",6.9066067,
ZAF,"EDUADULT","TRY_WOMEN","PC_25_64","A","2015",7.0755095,
OAVG,"EDUADULT","TRY_MEN","PC_25_64","A","2015",31.869052,
OAVG,"EDUADULT","TRY_WOMEN","PC_25_64","A","2015",37.388617,
LTU,"EDUADULT","TRY","PC_25_64","A","2015",38.724106,
LTU,"EDUADULT","TRY_MEN","PC_25_64","A","2015",31.510479,
LTU,"EDUADULT","TRY_WOMEN","PC_25_64","A","2015",45.31752,
CRI,"EDUADULT","TRY","PC_25_64","A","2015",23.136086,
CRI,"EDUADULT","TRY_MEN","PC_25_64","A","2015",22.159082,
CRI,"EDUADULT","TRY_WOMEN","PC_25_64","A","2015",24.09667,
